,area,item,amount [t],comm_group,group
159,Albania,Grapefruit and products,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
160,Albania,Grapes and products (excl wine),203951.46610078504,"Vegetables, fruit, nuts, pulses, spices",Primary crops
161,Albania,Grazing,9615854.0,Grazing,Primary crops
162,Albania,Groundnut Cake,39.0,Oil cakes,Crop products
163,Albania,Groundnut Oil,64.0,Vegetable oils,Crop products
164,Albania,Groundnuts,1000.3054119756688,Oil crops,Primary crops
165,Albania,"Hard Fibres, Other",0.0,Fibre crops,Primary crops
166,Albania,Hides and skins,13901.125676023234,"Hides, skins, wool",Livestock products
167,Albania,Honey,5000.0,Honey,Livestock products
168,Albania,Hops,1801.7247935023422,"Vegetables, fruit, nuts, pulses, spices",Primary crops
169,Albania,Horses,2.9756665126171677,Live animals,Livestock
170,Albania,Jute,0.0,Fibre crops,Primary crops
171,Albania,Jute-Like Fibres,0.0,Fibre crops,Primary crops
172,Albania,"Lemons, Limes and products",9498.761656264714,"Vegetables, fruit, nuts, pulses, spices",Primary crops
173,Albania,Maize Germ Oil,1741.4143353463426,Vegetable oils,Crop products
174,Albania,Maize and products,478247.7516273487,Cereals,Primary crops
175,Albania,"Meat, Other",0.0,Meat,Livestock products
176,Albania,Milk - Excluding Butter,1071289.3934730098,Milk,Livestock products
177,Albania,Millet and products,0.0,Cereals,Primary crops
178,Albania,Mules,0.0,Live animals,Livestock
179,Albania,Mutton & Goat Meat,23991.46425553924,Meat,Livestock products
180,Albania,Nuts and products,16877.498862234268,"Vegetables, fruit, nuts, pulses, spices",Primary crops
181,Albania,Oats,36000.0,Cereals,Primary crops
182,Albania,"Offals, Edible",14082.009303921284,Meat,Livestock products
183,Albania,"Oil, palm fruit",0.0,Oil crops,Primary crops
184,Albania,"Oilcrops Oil, Other",3691.0142090038016,Vegetable oils,Crop products
185,Albania,"Oilcrops, Other",0.0,Oil crops,Primary crops
186,Albania,"Oilseed Cakes, Other",638.3788445155196,Oil cakes,Crop products
187,Albania,Olive Oil,13816.825191258624,Vegetable oils,Crop products
188,Albania,Olives (including preserved),139818.4895075656,Oil crops,Primary crops
189,Albania,Onions,106686.99117695766,"Vegetables, fruit, nuts, pulses, spices",Primary crops
190,Albania,"Oranges, Mandarines",63454.99699563734,"Vegetables, fruit, nuts, pulses, spices",Primary crops
191,Albania,Palm Oil,1974.5080872212884,Vegetable oils,Crop products
192,Albania,Palm kernels,0.0,Oil crops,Crop products
193,Albania,Palmkernel Cake,0.0,Oil cakes,Crop products
194,Albania,Palmkernel Oil,0.0,Vegetable oils,Crop products
195,Albania,Peas,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
196,Albania,Pepper,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
197,Albania,Pigmeat,14036.218987668017,Meat,Livestock products
198,Albania,Pigs,166981.43518250855,Live animals,Livestock
199,Albania,Pimento,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
200,Albania,Pineapples and products,994.9644654611132,"Vegetables, fruit, nuts, pulses, spices",Primary crops
201,Albania,Plantains,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
202,Albania,Potatoes and products,263282.7043442978,Roots and tubers,Primary crops
203,Albania,Poultry Birds,10773707.218065262,Live animals,Livestock
204,Albania,Poultry Meat,37917.91714041119,Meat,Livestock products
205,Albania,"Pulses, Other and products",3550.6638730912127,"Vegetables, fruit, nuts, pulses, spices",Primary crops
206,Albania,Rabbits and hares,0.0,Live animals,Livestock
207,Albania,Rape and Mustard Cake,0.0,Oil cakes,Crop products
208,Albania,Rape and Mustard Oil,0.0,Vegetable oils,Crop products
209,Albania,Rape and Mustardseed,0.0,Oil crops,Primary crops
210,Albania,Rice and products,21302.828756835537,Cereals,Primary crops
211,Albania,Ricebran Oil,0.0,Vegetable oils,Crop products
212,Albania,"Rodents, other",0.0,Live animals,Livestock
213,Albania,"Roots, Other",0.0,Roots and tubers,Primary crops
214,Albania,Rubber,0.0,"Tobacco, rubber",Primary crops
215,Albania,Rye and products,3000.0,Cereals,Primary crops
216,Albania,Seed cotton,691.0,Oil crops,Primary crops
217,Albania,Sesame seed,0.0,Oil crops,Primary crops
218,Albania,Sesameseed Cake,0.0,Oil cakes,Crop products
219,Albania,Sesameseed Oil,0.0,Vegetable oils,Crop products
220,Albania,Sheep,1218664.5823720081,Live animals,Livestock
221,Albania,Silk,0.0,"Hides, skins, wool",Livestock products
222,Albania,Sisal,0.0,Fibre crops,Primary crops
223,Albania,"Soft-Fibres, Other",0.0,Fibre crops,Primary crops
224,Albania,Sorghum and products,0.0,Cereals,Primary crops
225,Albania,Soyabean Cake,20253.54464051752,Oil cakes,Crop products
226,Albania,Soyabean Oil,1014.7788265065776,Vegetable oils,Crop products
227,Albania,Soyabeans,441.0,Oil crops,Primary crops
228,Albania,"Spices, Other",343.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
229,Albania,Sugar (Raw Equivalent),50437.87403156189,"Sugar, sweeteners",Crop products
230,Albania,Sugar beet,27000.0,Sugar crops,Primary crops
231,Albania,Sugar cane,0.0,Sugar crops,Primary crops
232,Albania,Sugar non-centrifugal,0.0,"Sugar, sweeteners",Crop products
233,Albania,Sunflower seed,1000.0,Oil crops,Primary crops
234,Albania,Sunflowerseed Cake,1637.714428470367,Oil cakes,Crop products
235,Albania,Sunflowerseed Oil,16706.66386013131,Vegetable oils,Crop products
236,Albania,Sweet potatoes,0.0,Roots and tubers,Primary crops
237,Albania,"Sweeteners, Other",49676.41737292457,"Sugar, sweeteners",Crop products
238,Albania,Tea (including mate),0.0,"Coffee, tea, cocoa",Primary crops
239,Albania,Tobacco,4231.7775198613035,"Tobacco, rubber",Primary crops
240,Albania,Tomatoes and products,318926.9999999572,"Vegetables, fruit, nuts, pulses, spices",Primary crops
241,Albania,"Vegetables, Other",878142.6435614629,"Vegetables, fruit, nuts, pulses, spices",Primary crops
242,Albania,Wheat and products,321388.9244221705,Cereals,Primary crops
243,Albania,Wine,5962.92491378081,Alcohol,Crop products
244,Albania,Wool (Clean Eq.),2829.6328812230486,"Hides, skins, wool",Livestock products
245,Albania,Yams,0.0,Roots and tubers,Primary crops
246,Algeria,Abaca,0.0,Fibre crops,Primary crops
247,Algeria,"Alcohol, Non-Food",1935.4386339365942,Ethanol,Crop products
248,Algeria,Apples and products,571637.1020901597,"Vegetables, fruit, nuts, pulses, spices",Primary crops
249,Algeria,Asses,0.0,Live animals,Livestock
250,Algeria,Bananas,256249.98399709762,"Vegetables, fruit, nuts, pulses, spices",Primary crops
251,Algeria,Barley and products,2013750.640429047,Cereals,Primary crops
252,Algeria,Beans,49437.84812297761,"Vegetables, fruit, nuts, pulses, spices",Primary crops
253,Algeria,Beer,161554.99464751122,Alcohol,Crop products
254,Algeria,"Beverages, Alcoholic",3631.1672867696157,Alcohol,Crop products
255,Algeria,"Beverages, Fermented",0.0,Alcohol,Crop products
256,Algeria,Bovine Meat,165698.6237328927,Meat,Livestock products
257,Algeria,Buffaloes,0.0,Live animals,Livestock
258,Algeria,"Butter, Ghee",14820.205709266367,Milk,Livestock products
